iter	MultiClass
0	1.091242111
1	1.084347229
2	1.077690014
3	1.071655212
4	1.066696843
5	1.061815222
6	1.057009647
7	1.051045212
8	1.045530728
9	1.04125993
10	1.037306276
11	1.032983969
12	1.029592374
13	1.026685212
14	1.023498403
15	1.020929101
16	1.01792816
17	1.014501213
18	1.01050766
19	1.008768981
20	1.005976282
21	1.004103309
22	1.001111819
23	0.9980500256
24	0.9962228673
25	0.9932371327
26	0.9912433491
27	0.9892216965
28	0.9866774537
29	0.9845667108
30	0.9818449865
31	0.9789512531
32	0.9759220214
33	0.9725234397
34	0.9698370582
35	0.9676465757
36	0.9658217298
37	0.9637258012
38	0.9616021697
39	0.959634983
40	0.9575692915
41	0.9555916707
42	0.9544818648
43	0.952212485
44	0.949784227
45	0.9478839956
46	0.9457152677
47	0.9443805897
48	0.9426741182
49	0.9407329143
50	0.9392499097
51	0.938077321
52	0.9364731241
53	0.9352873076
54	0.9338798608
55	0.9320136247
56	0.9295811771
57	0.9280899192
58	0.9268258267
59	0.9246131779
60	0.9230287471
61	0.9218572922
62	0.9201294126
63	0.9180831607
64	0.9159383365
65	0.91385926
66	0.9127437662
67	0.9104467321
68	0.9085025341
69	0.9068346105
70	0.9045680958
71	0.9030265155
72	0.9017486071
73	0.9004849403
74	0.8989842951
75	0.8978297994
76	0.8964886897
77	0.8952978402
78	0.8932694859
79	0.8913404721
80	0.8905198564
81	0.8892972836
82	0.8878178552
83	0.8859439515
84	0.8848380743
85	0.8839872142
86	0.882560336
87	0.8809673457
88	0.8798568077
89	0.8782935871
90	0.8768621148
91	0.8758343462
92	0.8748510052
93	0.8724378309
94	0.8711439516
95	0.8705313176
96	0.8697370798
97	0.8689129925
98	0.8682552193
99	0.8668422442
100	0.8649624308
101	0.8627823805
102	0.86174098
103	0.8608962624
104	0.859747371
105	0.8586115902
106	0.8572132249
107	0.8562612916
108	0.8548789228
109	0.8537274509
110	0.8522553313
111	0.8508011194
112	0.8495476937
113	0.8484251804
114	0.8472362583
115	0.8453329504
116	0.8432978033
117	0.8423193764
118	0.8414313787
119	0.840269355
120	0.8394743837
121	0.8380665207
122	0.8372666745
123	0.8355294235
124	0.8341752151
125	0.83340746
126	0.8321230782
127	0.8311027496
128	0.8306663908
129	0.8296400144
130	0.8280345586
131	0.826954266
132	0.8261284293
133	0.8246848139
134	0.8236678303
135	0.8227787378
136	0.821485007
137	0.8204746722
138	0.8197269863
139	0.8187909635
140	0.8179319843
141	0.8173792838
142	0.8157551262
143	0.815121218
144	0.8141220053
145	0.8129998134
146	0.8123000521
147	0.8111549092
148	0.8101837609
149	0.8086809395
150	0.8074948208
151	0.8064374548
152	0.8055362368
153	0.804478043
154	0.8022453136
155	0.801349672
156	0.8005348471
157	0.7990927631
158	0.7978590096
159	0.7969276236
160	0.7959551785
161	0.7952914856
162	0.793922179
163	0.792956952
164	0.7917134647
165	0.7902237477
166	0.7893320619
167	0.7876487384
168	0.7866463903
169	0.7853369728
170	0.7841508324
171	0.783473135
172	0.7825537376
173	0.7806798186
174	0.779943249
175	0.7791406884
176	0.7779919598
177	0.7770520729
178	0.7757245145
179	0.7749683599
180	0.7740502699
181	0.7726905746
182	0.7717519552
183	0.7708559078
184	0.768568283
185	0.7678214559
186	0.7670826396
187	0.7660380006
188	0.7646830539
189	0.7626991327
190	0.7618220232
191	0.7605554685
192	0.7594451289
193	0.7582337664
194	0.7568835886
195	0.7555294548
196	0.7547877493
197	0.7538463456
198	0.7525014346
199	0.7506259814
200	0.7493511289
201	0.7482919483
202	0.747671615
203	0.7456396
204	0.7446016027
205	0.7434500755
206	0.7421950458
207	0.7407705074
208	0.7392625186
209	0.7377271204
210	0.7364385788
211	0.7348337568
212	0.7339366391
213	0.7331908457
214	0.7324608509
215	0.7309450114
216	0.7301365217
217	0.7291947953
218	0.72824657
219	0.7271699838
220	0.7264079191
221	0.7251128333
222	0.7242474225
223	0.7223100272
224	0.7215047717
225	0.7200416732
226	0.7183814591
227	0.7170716393
228	0.7158967122
229	0.7150881144
230	0.7141902176
231	0.7127323569
232	0.7110818949
233	0.710011365
234	0.7089641125
235	0.7082417915
236	0.7076309714
237	0.7069882501
238	0.7060950405
239	0.7053559738
240	0.7043110413
241	0.7030421316
242	0.7023622863
243	0.7010231959
244	0.700499572
245	0.6992215462
246	0.6982977515
247	0.6974568062
248	0.6965420804
249	0.6956124922
250	0.6945405086
251	0.6934850989
252	0.6918226294
253	0.6905924991
254	0.6896722987
255	0.6884128454
256	0.6875636311
257	0.6868927776
258	0.6854041744
259	0.6840624966
260	0.6835529971
261	0.6823737543
262	0.681495711
263	0.6810621522
264	0.6802199503
265	0.6789312245
266	0.6781416184
267	0.677416084
268	0.6758351957
269	0.6749398868
270	0.6744849836
271	0.6727965032
272	0.67201327
273	0.671282438
274	0.6699506692
275	0.6683462116
276	0.6675428046
277	0.6664671864
278	0.6648597964
279	0.6640089187
280	0.6631808044
281	0.6624384931
282	0.6615862528
283	0.6606513177
284	0.6595192936
285	0.6586404793
286	0.6575256243
287	0.6566586243
288	0.6556486788
289	0.654884593
290	0.6540574589
291	0.6528016328
292	0.6518923841
293	0.6506955609
294	0.6499113457
295	0.6480690849
296	0.6468497955
297	0.6459132928
298	0.6453656128
299	0.6445752791
